customerID,Contract,tenure,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,datetime
7590-VHVEG,Month-to-month,1,Electronic check,Yes,29.85,29.85,No,2021-10-25 15:07:18.625390512
5575-GNVDE,One year,34,Mailed check,No,56.95,1889.5,No,2020-06-28 06:32:24.674808292
3668-QPYBK,Month-to-month,2,Mailed check,Yes,53.85,108.15,Yes,2021-12-05 20:10:58.449304176
7795-CFOCW,One year,45,Bank transfer (automatic),No,42.3,1840.75,No,2020-04-24 04:28:17.245100824
9237-HQITU,Month-to-month,2,Electronic check,Yes,70.7,151.65,Yes,2021-09-27 19:26:36.023856856
9305-CDSKC,Month-to-month,8,Electronic check,Yes,99.65,820.5,Yes,2020-03-11 09:07:37.029253053
1452-KIOVK,Month-to-month,22,Credit card (automatic),Yes,89.1,1949.4,No,2021-08-26 00:10:50.269809712
6713-OKOMC,Month-to-month,10,Mailed check,No,29.75,301.9,No,2021-06-05 00:01:25.884691848
7892-POOKP,Month-to-month,28,Electronic check,Yes,104.8,3046.05,Yes,2020-12-19 15:59:15.012780460
6388-TABGU,One year,62,Bank transfer (automatic),No,56.15,3487.95,No,2021-07-28 03:35:19.511502416
9763-GRSKD,Month-to-month,13,Mailed check,Yes,49.95,587.45,No,2021-05-10 03:40:50.781028112
7469-LKBCI,Two year,16,Credit card (automatic),No,18.95,326.8,No,2020-07-31 14:15:34.507242260
8091-TTVAX,One year,58,Credit card (automatic),No,100.35,5681.1,No,2020-03-25 16:55:53.592729338
0280-XJGEX,Month-to-month,49,Bank transfer (automatic),Yes,103.7,5036.3,Yes,2021-05-19 06:55:06.560636184
5129-JLPIS,Month-to-month,25,Electronic check,Yes,105.5,2686.05,No,2021-08-27 18:32:00.136324904
3655-SNQYZ,Two year,69,Credit card (automatic),No,113.25,7895.15,No,2020-03-25 11:56:55.961374609
8191-XWSZG,One year,52,Mailed check,No,20.65,1022.95,No,2020-01-19 11:27:29.190570860
9959-WOFKT,Two year,71,Bank transfer (automatic),No,106.7,7382.25,No,2020-10-30 05:11:50.593581368
4190-MFLUW,Month-to-month,10,Credit card (automatic),No,55.2,528.35,Yes,2020-08-02 13:35:42.005112184
4183-MYFRB,Month-to-month,21,Electronic check,Yes,90.05,1862.9,No,2020-12-13 15:29:23.703493324
8779-QRDMV,Month-to-month,1,Electronic check,Yes,39.65,39.65,Yes,2021-08-06 21:46:28.185174664
1680-VDCWW,One year,12,Bank transfer (automatic),No,19.8,202.25,No,2021-12-12 01:39:47.389946032
1066-JKSGK,Month-to-month,1,Mailed check,No,20.15,20.15,Yes,2020-03-12 00:04:29.923317239
3638-WEABW,Two year,58,Credit card (automatic),Yes,59.9,3505.1,No,2021-08-03 06:34:39.636466912
6322-HRPFA,Month-to-month,49,Credit card (automatic),No,59.6,2970.3,No,2021-01-22 09:40:20.107923884
6865-JZNKO,Month-to-month,30,Bank transfer (automatic),Yes,55.3,1530.6,No,2021-01-24 21:27:51.684180628
6467-CHFZW,Month-to-month,47,Electronic check,Yes,99.35,4749.15,Yes,2021-05-22 17:07:57.477989208
8665-UTDHZ,Month-to-month,1,Electronic check,No,30.2,30.2,Yes,2020-10-20 11:00:41.919909116
5248-YGIJN,Two year,72,Credit card (automatic),Yes,90.25,6369.45,No,2021-06-30 12:53:34.541323488
8773-HHUOZ,Month-to-month,17,Mailed check,Yes,64.7,1093.1,Yes,2021-07-21 12:08:35.308151088
3841-NFECX,Two year,71,Credit card (automatic),Yes,96.35,6766.95,No,2021-06-28 16:02:55.859130928
4929-XIHVW,Month-to-month,2,Credit card (automatic),Yes,95.5,181.65,No,2020-11-16 20:43:29.258733312
6827-IEAUQ,One year,27,Mailed check,No,66.15,1874.45,No,2020-10-23 16:14:35.205907412
7310-EGVHZ,Month-to-month,1,Bank transfer (automatic),No,20.2,20.2,No,2021-01-08 09:20:29.991479692
3413-BMNZE,Month-to-month,1,Bank transfer (automatic),No,45.25,45.25,No,2020-11-03 21:18:27.299062764
6234-RAAPL,Two year,72,Bank transfer (automatic),No,99.9,7251.7,No,2021-02-12 03:56:23.243396760
6047-YHPVI,Month-to-month,5,Electronic check,Yes,69.7,316.9,Yes,2021-01-25 12:24:44.578244816
6572-ADKRS,Month-to-month,46,Credit card (automatic),Yes,74.8,3548.3,No,2021-02-15 19:08:11.792104516
5380-WJKOV,Month-to-month,34,Electronic check,Yes,106.35,3549.25,Yes,2021-01-10 11:10:06.305026980
8168-UQWWF,Month-to-month,11,Bank transfer (automatic),Yes,97.85,1105.4,Yes,2021-12-23 16:41:34.745810848
8865-TNMNX,One year,10,Mailed check,No,49.55,475.7,No,2020-10-08 12:30:28.117012212
9489-DEDVP,Two year,70,Credit card (automatic),Yes,69.2,4872.35,No,2021-12-26 16:56:30.400454416
9867-JCZSP,One year,17,Mailed check,No,20.75,418.25,No,2020-11-13 22:58:02.419767112
4671-VJLCL,Two year,63,Credit card (automatic),Yes,79.85,4861.45,No,2021-03-27 10:49:39.380857712
4080-IIARD,Month-to-month,13,Electronic check,Yes,76.2,981.45,No,2021-08-03 21:31:32.530531096
