customerID,DeviceProtection,OnlineBackup,OnlineSecurity,InternetService,MultipleLines,PhoneService,TechSupport,StreamingMovies,StreamingTV,datetime
7590-VHVEG,No,Yes,No,DSL,No phone service,No,No,No,No,2021-10-25 15:07:18.625390512
5575-GNVDE,Yes,No,Yes,DSL,No,Yes,No,No,No,2020-06-28 06:32:24.674808292
3668-QPYBK,No,Yes,Yes,DSL,No,Yes,No,No,No,2021-12-05 20:10:58.449304176
7795-CFOCW,Yes,No,Yes,DSL,No phone service,No,Yes,No,No,2020-04-24 04:28:17.245100824
9237-HQITU,No,No,No,Fiber optic,No,Yes,No,No,No,2021-09-27 19:26:36.023856856
9305-CDSKC,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2020-03-11 09:07:37.029253053
1452-KIOVK,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,2021-08-26 00:10:50.269809712
6713-OKOMC,No,No,Yes,DSL,No phone service,No,No,No,No,2021-06-05 00:01:25.884691848
7892-POOKP,Yes,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,2020-12-19 15:59:15.012780460
6388-TABGU,No,Yes,Yes,DSL,No,Yes,No,No,No,2021-07-28 03:35:19.511502416
9763-GRSKD,No,No,Yes,DSL,No,Yes,No,No,No,2021-05-10 03:40:50.781028112
7469-LKBCI,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-07-31 14:15:34.507242260
8091-TTVAX,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,2020-03-25 16:55:53.592729338
0280-XJGEX,Yes,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-05-19 06:55:06.560636184
5129-JLPIS,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,2021-08-27 18:32:00.136324904
3655-SNQYZ,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,2020-03-25 11:56:55.961374609
8191-XWSZG,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-01-19 11:27:29.190570860
9959-WOFKT,Yes,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,2020-10-30 05:11:50.593581368
4190-MFLUW,Yes,No,No,DSL,No,Yes,Yes,No,No,2020-08-02 13:35:42.005112184
4183-MYFRB,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,2020-12-13 15:29:23.703493324
8779-QRDMV,Yes,No,No,DSL,No phone service,No,No,Yes,No,2021-08-06 21:46:28.185174664
1680-VDCWW,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2021-12-12 01:39:47.389946032
1066-JKSGK,No internet service,No internet service,No internet service,No,No,Yes,No internet service,No internet service,No internet service,2020-03-12 00:04:29.923317239
3638-WEABW,No,Yes,No,DSL,Yes,Yes,Yes,No,No,2021-08-03 06:34:39.636466912
6322-HRPFA,No,Yes,Yes,DSL,No,Yes,Yes,No,No,2021-01-22 09:40:20.107923884
6865-JZNKO,No,Yes,Yes,DSL,No,Yes,No,No,No,2021-01-24 21:27:51.684180628
6467-CHFZW,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,2021-05-22 17:07:57.477989208
8665-UTDHZ,No,Yes,No,DSL,No phone service,No,No,No,No,2020-10-20 11:00:41.919909116
5248-YGIJN,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,2021-06-30 12:53:34.541323488
8773-HHUOZ,No,No,No,DSL,No,Yes,No,Yes,Yes,2021-07-21 12:08:35.308151088
3841-NFECX,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,2021-06-28 16:02:55.859130928
